COMPANY NAME,UNIT NAME,QUESTION,Clover Element,ANSWER,Score,REASON,CUSTOM DESCRIPTION
Front Porch Agility,F&F,Were you able to meaningfully engage with colleagues today?,Vulnerability,Its OK,100,,we shared a toy and shared some chocolate with a classmate.
Front Porch Agility,F&F,Were you able to meaningfully engage with colleagues today?,Vulnerability,Frustrated Angry,100,Opportunities for deeper one-on-one engagement were limited,
Front Porch Agility,F&F,Were you able to meaningfully engage with colleagues today?,Vulnerability,Its OK,100,Had a significant conversation that went beyond work,
Front Porch Agility,F&F,Were you able to meaningfully engage with colleagues today?,Vulnerability,Sad Demotivated,100,Social barriers or time constraints hindered meaningful connection,
Front Porch Agility,F&F,Were you able to meaningfully engage with colleagues today?,Vulnerability,Its OK,100,Had a significant conversation that went beyond work,
Front Porch Agility,F&F,Did you celebrate a success today?,Opportunity,Sad Demotivated,33.3,Successes go unnoticed or underappreciated,
Front Porch Agility,F&F,Did you celebrate a success today?,Opportunity,Sad Demotivated,33.3,,
Front Porch Agility,F&F,Did you celebrate a success today?,Opportunity,Its OK,66.6,We're encouraged to share our successes,
Front Porch Agility,F&F,Did you receive constructive feedback that fueled your growth today?,Learning,Sad Demotivated,33.3,I got feedback that was helpful and timely,
Front Porch Agility,F&F,Did you receive constructive feedback that fueled your growth today?,Learning,Its OK,66.6,,
Front Porch Agility,F&F,Did you receive constructive feedback that fueled your growth today?,Learning,Its OK,66.6,,some comments and reactions prompted me to reflect on areas for growth
Front Porch Agility,F&F,Did you receive constructive feedback that fueled your growth today?,Learning,Sad Demotivated,33.3,I received feedback that provided a useful new perspective,
Front Porch Agility,F&F,Did you receive constructive feedback that fueled your growth today?,Learning,Sad Demotivated,33.3,I received feedback that provided a useful new perspective,
Front Porch Agility,F&F,Did you feel understood by others today?,Communication,Happy Excited Motivated,100,There was a mutual understanding in all conversations,
Front Porch Agility,F&F,Did you feel understood by others today?,Communication,Its OK,66.6,There was a mutual understanding in all conversations,
Front Porch Agility,F&F,Did you feel understood by others today?,Communication,Its OK,66.6,My input was valued and prompted further discussion,
Front Porch Agility,F&F,Did you feel understood by others today?,Communication,Sad Demotivated,33.3,There was a lack of effort to clarify misunderstandings,I need help please
Front Porch Agility,F&F,How productive has your day been?,Enablement,Sad Demotivated,33.3,Too much time in unproductive meetings,
Front Porch Agility,F&F,How productive has your day been?,Enablement,Its OK,66.6,I got time to focus,
Front Porch Agility,F&F,How productive has your day been?,Enablement,Its OK,66.6,I got something important done,
Front Porch Agility,F&F,Could you express your frustrations freely today?,Vulnerability,Frustrated Angry,100,Workplace culture discourages sharing negative emotions,
Front Porch Agility,F&F,Could you express your frustrations freely today?,Vulnerability,Sad Demotivated,100,,
Front Porch Agility,F&F,Could you express your frustrations freely today?,Vulnerability,Happy Excited Motivated,100,We're encouraged to voice frustrations constructively,
Front Porch Agility,F&F,Could you express your frustrations freely today?,Vulnerability,Its OK,100,Felt safe to share concerns without judgment,
Front Porch Agility,F&F,Could you express your frustrations freely today?,Vulnerability,Frustrated Angry,0,Concerned about being judged or dismissed for expressing frustration,
Front Porch Agility,F&F,Do you feel your workload was healthy today?,Reflection,Sad Demotivated,33.3,High volume of work was unhealthy today,
Front Porch Agility,F&F,Do you feel your workload was healthy today?,Reflection,Sad Demotivated,33.3,,
Front Porch Agility,F&F,Do you feel your workload was healthy today?,Reflection,Sad Demotivated,33.3,Pressure to meet deadlines or balance priorities felt too stressful today,
Front Porch Agility,F&F,Do you feel your workload was healthy today?,Reflection,Its OK,66.6,Workload was balanced and healthy today,
Front Porch Agility,F&F,Do you feel your workload was healthy today?,Reflection,Sad Demotivated,33.3,High volume of work was unhealthy today,
Front Porch Agility,F&F,Do you feel your workload was healthy today?,Reflection,Happy Excited Motivated,100,Time for reflection and prioritising was available today,
Front Porch Agility,F&F,Did the tools you use enhance your efficiency today?,Enablement,Its OK,66.6,Our tools improve my task completion speed,
Front Porch Agility,F&F,Did the tools you use enhance your efficiency today?,Enablement,Sad Demotivated,33.3,Lack of tool training  hindered efficiency,
Front Porch Agility,F&F,Did the tools you use enhance your efficiency today?,Enablement,Happy Excited Motivated,100,Our tools improve my task completion speed,
Front Porch Agility,F&F,Did you feel understood by others today?,Communication,Happy Excited Motivated,100,My input was valued and prompted further discussion,
